SE_NM,SGG_NM,SPOT_NM,STA_NM,GRDNT_VAL,SLANT_GRD_CD
갯벌,태안군,방포항,할미할아비바위,24.94,B
갯벌,태안군,방포항,할미할아비바위,24.94,B
방파제,울산시,방어진항,방어진항방파제,24.94,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.96,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.98,B
방파제,영덕군,축산항,축산방파제,24.98,B
방파제,영덕군,축산항,축산방파제,24.98,B
갯바위,부산시,이기대,이기대갯바위,24.99,B
갯바위,부산시,이기대,이기대갯바위,24.99,B
방파제,영덕군,축산항,축산방파제,24.99,B
해수욕장,포항시,오도1리,오도리 해수욕장,25,B
갯바위,삼척시,갈남리,갈남해수욕장,25.01,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.01,B
갯바위,삼척시,갈남리,갈남해수욕장,25.02,B
갯바위,삼척시,갈남리,갈남해수욕장,25.03,B
갯바위,삼척시,갈남리,갈남해수욕장,25.03,B
방파제,울산시,방어진항,방어진항방파제,25.03,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.05,B
방파제,울산시,방어진항,방어진항방파제,25.06,B
방파제,영덕군,축산항,축산방파제,25.06,B
갯바위,부산시,이기대,이기대갯바위,25.07,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.07,B
갯바위,부산시,이기대,이기대갯바위,25.08,B
갯벌,서천군,선도리,선도리갯벌,25.08,B
방파제,영덕군,축산항,축산방파제,25.08,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.1,B
갯바위,부안군,격포리,채석강,25.1,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.11,B
갯바위,부산시,이기대,이기대갯바위,25.15,B
갯벌,태안군,방포항,할미할아비바위,25.15,B
방파제,울산시,방어진항,방어진항방파제,25.15,B
갯벌,서천군,선도리,선도리갯벌,25.15,B
갯바위,삼척시,갈남리,갈남해수욕장,25.16,B
갯바위,삼척시,갈남리,갈남해수욕장,25.16,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.17,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.17,B
방파제,울산시,방어진항,방어진항방파제,25.17,B
갯바위,삼척시,갈남리,갈남해수욕장,25.22,B
갯벌,태안군,방포항,할미할아비바위,25.22,B
방파제,영덕군,축산항,축산방파제,25.22,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.24,B
해수욕장,포항시,오도1리,오도리 해수욕장,25.25,B
갯바위,부산시,이기대,이기대갯바위,25.26,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.26,B
갯바위,삼척시,갈남리,갈남해수욕장,25.27,B
갯바위,부산시,이기대,이기대갯바위,25.28,B
갯벌,태안군,방포항,할미할아비바위,25.28,B
방파제,영덕군,축산항,축산방파제,25.28,B
갯벌,태안군,방포항,할미할아비바위,25.29,B
갯벌,태안군,방포항,할미할아비바위,25.3,B
방파제,울산시,방어진항,방어진항방파제,25.3,B
갯바위,삼척시,갈남리,갈남해수욕장,25.31,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.31,B
갯바위,삼척시,갈남리,갈남해수욕장,25.33,B
갯바위,부산시,이기대,이기대갯바위,25.33,B
갯바위,부안군,격포리,채석강,25.33,B
방파제,영덕군,축산항,축산방파제,25.35,B
갯벌,태안군,방포항,할미할아비바위,25.36,B
갯벌,태안군,방포항,할미할아비바위,25.37,B
방파제,울산시,방어진항,방어진항방파제,25.4,B
갯바위,부산시,이기대,이기대갯바위,25.41,B
갯바위,부산시,이기대,이기대갯바위,25.42,B
갯바위,삼척시,갈남리,갈남해수욕장,25.43,B
갯벌,태안군,방포항,할미할아비바위,25.43,B
방파제,영덕군,축산항,축산방파제,25.43,B
갯바위,부산시,대변항,대변항 북측 갯바위,25.46,B
방파제,울산시,방어진항,방어진항방파제,25.47,B
