SE_NM,SGG_NM,SPOT_NM,STA_NM,GRDNT_VAL,SLANT_GRD_CD
갯벌,태안군,방포항,할미할아비바위,22.4,B
방파제,울산시,방어진항,방어진항방파제,22.4,B
갯바위,부산시,이기대,이기대갯바위,22.41,B
갯바위,삼척시,갈남리,갈남해수욕장,22.42,B
갯벌,태안군,방포항,할미할아비바위,22.42,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.42,B
갯바위,삼척시,갈남리,갈남해수욕장,22.43,B
갯바위,부산시,이기대,이기대갯바위,22.43,B
갯바위,부산시,이기대,이기대갯바위,22.44,B
갯바위,부안군,격포리,채석강,22.45,B
갯바위,삼척시,갈남리,갈남해수욕장,22.46,B
갯바위,부산시,이기대,이기대갯바위,22.46,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.46,B
방파제,울산시,방어진항,방어진항방파제,22.47,B
갯벌,서천군,선도리,선도리갯벌,22.47,B
갯벌,태안군,방포항,할미할아비바위,22.48,B
갯바위,부산시,이기대,이기대갯바위,22.51,B
방파제,울산시,방어진항,방어진항방파제,22.51,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.52,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.53,B
방파제,울산시,방어진항,방어진항방파제,22.53,B
갯바위,삼척시,갈남리,갈남해수욕장,22.55,B
갯바위,부산시,이기대,이기대갯바위,22.55,B
갯바위,부안군,격포리,채석강,22.55,B
갯바위,부산시,이기대,이기대갯바위,22.57,B
방파제,영덕군,축산항,축산방파제,22.57,B
갯벌,태안군,방포항,할미할아비바위,22.58,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.59,B
갯벌,태안군,방포항,할미할아비바위,22.59,B
갯벌,태안군,방포항,할미할아비바위,22.59,B
갯바위,삼척시,갈남리,갈남해수욕장,22.6,B
갯바위,부산시,이기대,이기대갯바위,22.6,B
갯바위,부산시,이기대,이기대갯바위,22.61,B
갯바위,삼척시,갈남리,갈남해수욕장,22.62,B
갯바위,부산시,이기대,이기대갯바위,22.62,B
방파제,영덕군,축산항,축산방파제,22.62,B
갯바위,부산시,이기대,이기대갯바위,22.63,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.63,B
방파제,영덕군,축산항,축산방파제,22.64,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.66,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.67,B
갯바위,삼척시,갈남리,갈남해수욕장,22.68,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.68,B
갯바위,삼척시,갈남리,갈남해수욕장,22.7,B
갯바위,부산시,이기대,이기대갯바위,22.7,B
갯벌,서천군,선도리,선도리갯벌,22.73,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.74,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.76,B
방파제,울산시,방어진항,방어진항방파제,22.76,B
방파제,울산시,방어진항,방어진항방파제,22.78,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.8,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.8,B
방파제,영덕군,축산항,축산방파제,22.81,B
갯바위,삼척시,갈남리,갈남해수욕장,22.82,B
갯벌,태안군,방포항,할미할아비바위,22.82,B
갯벌,태안군,방포항,할미할아비바위,22.82,B
갯바위,삼척시,갈남리,갈남해수욕장,22.84,B
갯바위,부산시,이기대,이기대갯바위,22.85,B
갯바위,부산시,이기대,이기대갯바위,22.85,B
방파제,울산시,방어진항,방어진항방파제,22.85,B
갯벌,태안군,방포항,할미할아비바위,22.86,B
갯바위,부안군,격포리,채석강,22.86,B
방파제,영덕군,축산항,축산방파제,22.86,B
갯벌,태안군,방포항,할미할아비바위,22.87,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.87,B
갯바위,부산시,이기대,이기대갯바위,22.88,B
갯벌,태안군,방포항,할미할아비바위,22.88,B
갯바위,삼척시,갈남리,갈남해수욕장,22.89,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.89,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.89,B
갯벌,태안군,방포항,할미할아비바위,22.89,B
갯벌,태안군,방포항,할미할아비바위,22.9,B
해수욕장,포항시,오도1리,오도리 해수욕장,22.91,B
갯벌,서천군,선도리,선도리갯벌,22.91,B
갯벌,태안군,방포항,할미할아비바위,22.93,B
갯바위,부산시,이기대,이기대갯바위,22.94,B
갯벌,태안군,방포항,할미할아비바위,22.95,B
갯벌,태안군,방포항,할미할아비바위,22.96,B
방파제,영덕군,축산항,축산방파제,22.96,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.97,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.97,B
방파제,울산시,방어진항,방어진항방파제,22.98,B
갯바위,부산시,이기대,이기대갯바위,22.99,B
갯바위,부산시,대변항,대변항 북측 갯바위,22.99,B
갯벌,서천군,선도리,선도리갯벌,22.99,B
갯바위,삼척시,갈남리,갈남해수욕장,23.01,B
갯바위,부산시,이기대,이기대갯바위,23.01,B
방파제,울산시,방어진항,방어진항방파제,23.01,B
갯바위,부안군,격포리,채석강,23.01,B
갯바위,삼척시,갈남리,갈남해수욕장,23.02,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.02,B
갯바위,부산시,이기대,이기대갯바위,23.04,B
갯벌,태안군,방포항,할미할아비바위,23.04,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.05,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.07,B
갯바위,부산시,이기대,이기대갯바위,23.08,B
갯바위,삼척시,갈남리,갈남해수욕장,23.09,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.09,B
갯벌,태안군,방포항,할미할아비바위,23.1,B
갯벌,태안군,방포항,할미할아비바위,23.1,B
갯바위,삼척시,갈남리,갈남해수욕장,23.11,B
갯바위,삼척시,갈남리,갈남해수욕장,23.11,B
갯바위,부산시,이기대,이기대갯바위,23.11,B
갯바위,부산시,이기대,이기대갯바위,23.12,B
갯바위,부산시,이기대,이기대갯바위,23.12,B
방파제,울산시,방어진항,방어진항방파제,23.12,B
갯벌,태안군,방포항,할미할아비바위,23.13,B
방파제,울산시,방어진항,방어진항방파제,23.13,B
갯바위,부산시,이기대,이기대갯바위,23.14,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.14,B
방파제,영덕군,축산항,축산방파제,23.14,B
갯바위,부산시,이기대,이기대갯바위,23.15,B
갯바위,부산시,이기대,이기대갯바위,23.16,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.16,B
갯벌,태안군,방포항,할미할아비바위,23.18,B
해수욕장,포항시,오도1리,오도리 해수욕장,23.2,B
갯벌,태안군,방포항,할미할아비바위,23.21,B
갯벌,태안군,방포항,할미할아비바위,23.21,B
방파제,울산시,방어진항,방어진항방파제,23.21,B
방파제,울산시,방어진항,방어진항방파제,23.22,B
해수욕장,포항시,오도1리,오도리 해수욕장,23.23,B
방파제,울산시,방어진항,방어진항방파제,23.23,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.24,B
갯바위,부산시,이기대,이기대갯바위,23.25,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.25,B
방파제,울산시,방어진항,방어진항방파제,23.25,B
갯바위,부산시,이기대,이기대갯바위,23.28,B
방파제,울산시,방어진항,방어진항방파제,23.28,B
방파제,울산시,방어진항,방어진항방파제,23.28,B
갯바위,부산시,이기대,이기대갯바위,23.29,B
방파제,영덕군,축산항,축산방파제,23.29,B
해수욕장,포항시,오도1리,오도리 해수욕장,23.3,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.31,B
방파제,울산시,방어진항,방어진항방파제,23.31,B
갯벌,태안군,방포항,할미할아비바위,23.33,B
방파제,영덕군,축산항,축산방파제,23.33,B
방파제,영덕군,축산항,축산방파제,23.33,B
갯바위,부산시,이기대,이기대갯바위,23.34,B
방파제,울산시,방어진항,방어진항방파제,23.34,B
갯바위,부산시,이기대,이기대갯바위,23.37,B
방파제,울산시,방어진항,방어진항방파제,23.37,B
방파제,울산시,방어진항,방어진항방파제,23.39,B
갯벌,서천군,선도리,선도리갯벌,23.39,B
갯바위,삼척시,갈남리,갈남해수욕장,23.4,B
갯벌,서천군,선도리,선도리갯벌,23.41,B
방파제,울산시,방어진항,방어진항방파제,23.42,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.43,B
방파제,울산시,방어진항,방어진항방파제,23.44,B
방파제,울산시,방어진항,방어진항방파제,23.46,B
갯바위,부산시,이기대,이기대갯바위,23.47,B
방파제,영덕군,축산항,축산방파제,23.47,B
갯바위,삼척시,갈남리,갈남해수욕장,23.48,B
갯바위,부산시,이기대,이기대갯바위,23.48,B
갯벌,태안군,방포항,할미할아비바위,23.48,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.48,B
갯바위,삼척시,갈남리,갈남해수욕장,23.49,B
방파제,영덕군,축산항,축산방파제,23.49,B
갯바위,삼척시,갈남리,갈남해수욕장,23.5,B
갯바위,부산시,이기대,이기대갯바위,23.5,B
갯바위,삼척시,갈남리,갈남해수욕장,23.51,B
갯벌,태안군,방포항,할미할아비바위,23.51,B
방파제,울산시,방어진항,방어진항방파제,23.51,B
방파제,울산시,방어진항,방어진항방파제,23.51,B
방파제,영덕군,축산항,축산방파제,23.51,B
갯바위,부산시,이기대,이기대갯바위,23.52,B
갯벌,태안군,방포항,할미할아비바위,23.52,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.52,B
갯바위,삼척시,갈남리,갈남해수욕장,23.54,B
갯바위,부산시,이기대,이기대갯바위,23.54,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.54,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.55,B
방파제,영덕군,축산항,축산방파제,23.55,B
갯벌,서천군,선도리,선도리갯벌,23.56,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.57,B
방파제,울산시,방어진항,방어진항방파제,23.57,B
갯바위,삼척시,갈남리,갈남해수욕장,23.61,B
방파제,울산시,방어진항,방어진항방파제,23.61,B
갯벌,태안군,방포항,할미할아비바위,23.62,B
갯바위,부안군,격포리,채석강,23.62,B
갯벌,태안군,방포항,할미할아비바위,23.63,B
방파제,울산시,방어진항,방어진항방파제,23.63,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.65,B
갯벌,서천군,선도리,선도리갯벌,23.65,B
방파제,영덕군,축산항,축산방파제,23.65,B
갯바위,삼척시,갈남리,갈남해수욕장,23.66,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.67,B
갯벌,태안군,방포항,할미할아비바위,23.68,B
갯바위,삼척시,갈남리,갈남해수욕장,23.69,B
갯벌,태안군,방포항,할미할아비바위,23.69,B
갯벌,서천군,선도리,선도리갯벌,23.69,B
갯바위,부산시,이기대,이기대갯바위,23.7,B
갯바위,부산시,이기대,이기대갯바위,23.71,B
갯바위,부산시,이기대,이기대갯바위,23.71,B
갯벌,태안군,방포항,할미할아비바위,23.71,B
갯벌,태안군,방포항,할미할아비바위,23.72,B
방파제,영덕군,축산항,축산방파제,23.72,B
갯바위,부산시,이기대,이기대갯바위,23.73,B
갯바위,부산시,이기대,이기대갯바위,23.74,B
방파제,울산시,방어진항,방어진항방파제,23.74,B
방파제,영덕군,축산항,축산방파제,23.74,B
방파제,울산시,방어진항,방어진항방파제,23.75,B
갯바위,삼척시,갈남리,갈남해수욕장,23.76,B
해수욕장,포항시,오도1리,오도리 해수욕장,23.78,B
갯바위,부안군,격포리,채석강,23.78,B
갯바위,부산시,이기대,이기대갯바위,23.79,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.8,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.8,B
방파제,울산시,방어진항,방어진항방파제,23.8,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.81,B
갯벌,서천군,선도리,선도리갯벌,23.81,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.82,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.82,B
갯바위,삼척시,갈남리,갈남해수욕장,23.83,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.84,B
갯벌,서천군,선도리,선도리갯벌,23.84,B
갯벌,서천군,선도리,선도리갯벌,23.84,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.86,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.87,B
갯바위,부안군,격포리,채석강,23.87,B
방파제,울산시,방어진항,방어진항방파제,23.88,B
갯벌,서천군,선도리,선도리갯벌,23.88,B
갯벌,태안군,방포항,할미할아비바위,23.89,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.89,B
갯바위,삼척시,갈남리,갈남해수욕장,23.9,B
갯바위,부산시,이기대,이기대갯바위,23.9,B
갯바위,부산시,이기대,이기대갯바위,23.9,B
방파제,울산시,방어진항,방어진항방파제,23.9,B
방파제,울산시,방어진항,방어진항방파제,23.9,B
갯벌,태안군,방포항,할미할아비바위,23.92,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.92,B
갯벌,태안군,방포항,할미할아비바위,23.93,B
갯바위,삼척시,갈남리,갈남해수욕장,23.94,B
갯벌,태안군,방포항,할미할아비바위,23.94,B
방파제,울산시,방어진항,방어진항방파제,23.94,B
방파제,울산시,방어진항,방어진항방파제,23.94,B
갯벌,서천군,선도리,선도리갯벌,23.94,B
해수욕장,포항시,오도1리,오도리 해수욕장,23.95,B
해수욕장,포항시,오도1리,오도리 해수욕장,23.96,B
갯벌,태안군,방포항,할미할아비바위,23.99,B
갯바위,부산시,대변항,대변항 북측 갯바위,23.99,B
갯바위,부산시,이기대,이기대갯바위,24.01,B
갯바위,부산시,이기대,이기대갯바위,24.02,B
갯벌,서천군,선도리,선도리갯벌,24.02,B
방파제,영덕군,축산항,축산방파제,24.03,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.04,B
갯벌,화성시,제부도,매바위,24.04,B
갯벌,태안군,방포항,할미할아비바위,24.04,B
방파제,울산시,방어진항,방어진항방파제,24.05,B
갯바위,부산시,이기대,이기대갯바위,24.06,B
갯바위,삼척시,갈남리,갈남해수욕장,24.07,B
방파제,영덕군,축산항,축산방파제,24.07,B
갯바위,부산시,이기대,이기대갯바위,24.09,B
방파제,영덕군,축산항,축산방파제,24.09,B
갯바위,삼척시,갈남리,갈남해수욕장,24.1,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.1,B
갯벌,서천군,선도리,선도리갯벌,24.1,B
방파제,영덕군,축산항,축산방파제,24.1,B
갯벌,태안군,방포항,할미할아비바위,24.11,B
방파제,울산시,방어진항,방어진항방파제,24.12,B
갯벌,서천군,선도리,선도리갯벌,24.13,B
갯바위,부산시,이기대,이기대갯바위,24.14,B
갯벌,태안군,방포항,할미할아비바위,24.14,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.14,B
갯바위,삼척시,갈남리,갈남해수욕장,24.15,B
갯바위,부산시,이기대,이기대갯바위,24.15,B
방파제,영덕군,축산항,축산방파제,24.15,B
갯바위,삼척시,갈남리,갈남해수욕장,24.16,B
갯바위,삼척시,갈남리,갈남해수욕장,24.16,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.17,B
갯바위,부산시,이기대,이기대갯바위,24.18,B
방파제,울산시,방어진항,방어진항방파제,24.18,B
방파제,영덕군,축산항,축산방파제,24.18,B
갯바위,부산시,이기대,이기대갯바위,24.19,B
갯바위,삼척시,갈남리,갈남해수욕장,24.2,B
갯바위,삼척시,갈남리,갈남해수욕장,24.21,B
갯바위,삼척시,갈남리,갈남해수욕장,24.22,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.22,B
갯벌,태안군,방포항,할미할아비바위,24.23,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.23,B
갯벌,태안군,방포항,할미할아비바위,24.25,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.25,B
갯바위,부안군,격포리,채석강,24.25,B
갯벌,태안군,방포항,할미할아비바위,24.27,B
방파제,영덕군,축산항,축산방파제,24.27,B
갯바위,삼척시,갈남리,갈남해수욕장,24.28,B
갯바위,삼척시,갈남리,갈남해수욕장,24.29,B
갯바위,삼척시,갈남리,갈남해수욕장,24.3,B
방파제,영덕군,축산항,축산방파제,24.31,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.32,B
갯벌,태안군,방포항,할미할아비바위,24.32,B
방파제,울산시,방어진항,방어진항방파제,24.32,B
갯바위,부안군,격포리,채석강,24.32,B
갯바위,부산시,이기대,이기대갯바위,24.34,B
갯벌,태안군,방포항,할미할아비바위,24.34,B
갯벌,태안군,방포항,할미할아비바위,24.34,B
갯바위,삼척시,갈남리,갈남해수욕장,24.35,B
방파제,울산시,방어진항,방어진항방파제,24.35,B
갯바위,부안군,격포리,채석강,24.35,B
갯바위,삼척시,갈남리,갈남해수욕장,24.37,B
방파제,영덕군,축산항,축산방파제,24.37,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.38,B
갯바위,부산시,이기대,이기대갯바위,24.38,B
갯벌,서천군,선도리,선도리갯벌,24.39,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.4,B
갯벌,태안군,방포항,할미할아비바위,24.42,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.43,B
방파제,영덕군,축산항,축산방파제,24.46,B
갯바위,부산시,이기대,이기대갯바위,24.47,B
갯바위,부안군,격포리,채석강,24.47,B
갯바위,삼척시,갈남리,갈남해수욕장,24.5,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.51,B
방파제,울산시,방어진항,방어진항방파제,24.52,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.53,B
방파제,영덕군,축산항,축산방파제,24.53,B
갯바위,삼척시,갈남리,갈남해수욕장,24.55,B
해수욕장,포항시,오도1리,오도리 해수욕장,24.55,B
갯바위,부산시,이기대,이기대갯바위,24.55,B
갯바위,부산시,이기대,이기대갯바위,24.55,B
갯벌,태안군,방포항,할미할아비바위,24.56,B
방파제,울산시,방어진항,방어진항방파제,24.56,B
갯바위,부안군,격포리,채석강,24.56,B
갯바위,부산시,대변항,대변항 북측 갯바위,24.58,B
갯벌,서천군,선도리,선도리갯벌,24.58,B
갯벌,태안군,방포항,할미할아비바위,24.6,B
갯벌,태안군,방포항,할미할아비바위,24.61,B
