PLACE_NM,PLACE_SE_NM,ACC_CQT_SUM,Y2017_ACC_CQT_SUM,Y2018_ACC_CQT_SUM,Y2019_ACC_CQT_SUM,Y2020_ACC_CQT_SUM
전라남도 목포,항포구,7,0,0,0,0
전라남도 목포,해수욕장,2,0,0,0,0
전라남도 목포,해양,0,0,0,0,0
전라남도 목포,해안가,7,0,0,0,0
전라북도 부안,갯바위,5,0,0,0,0
전라북도 부안,갯벌,0,0,0,0,0
전라북도 부안,무인도서,0,0,0,0,0
전라북도 부안,방파제,1,0,0,0,0
전라북도 부안,테트라포드,0,0,0,0,0
전라북도 부안,항포구,0,0,0,0,0
전라북도 부안,해수욕장,0,0,0,0,0
전라북도 부안,해양,0,0,0,0,0
전라북도 부안,해안가,3,0,0,0,0
전라남도 완도,갯바위,1,0,0,0,0
전라남도 완도,갯벌,2,0,0,0,0
전라남도 완도,무인도서,0,0,0,0,0
전라남도 완도,방파제,2,0,0,0,0
전라남도 완도,테트라포드,0,0,0,0,0
전라남도 완도,항포구,7,0,0,0,0
전라남도 완도,해수욕장,2,0,0,0,0
전라남도 완도,해양,0,0,0,0,0
전라남도 완도,해안가,0,0,0,0,0
전라북도 군산,갯바위,0,0,0,0,0
전라북도 군산,갯벌,0,0,0,0,0
전라북도 군산,무인도서,0,0,0,0,0
전라북도 군산,방파제,0,0,0,0,0
전라북도 군산,테트라포드,0,0,0,0,0
전라북도 군산,항포구,0,0,0,0,0
전라북도 군산,해수욕장,0,0,0,0,0
전라북도 군산,해양,0,0,0,0,0
전라북도 군산,해안가,0,0,0,0,0
제주도 서귀포,갯바위,6,0,0,0,0
제주도 서귀포,갯벌,0,0,0,0,0
제주도 서귀포,무인도서,0,0,0,0,0
제주도 서귀포,방파제,0,0,0,0,0
제주도 서귀포,테트라포드,1,0,0,0,0
제주도 서귀포,항포구,5,0,0,0,0
제주도 서귀포,해수욕장,2,0,0,0,0
제주도 서귀포,해양,3,0,0,0,0
제주도 서귀포,해안가,3,0,0,0,0
제주도 제주,갯바위,7,0,0,0,0
제주도 제주,갯벌,0,0,0,0,0
제주도 제주,무인도서,1,0,0,0,0
제주도 제주,방파제,1,0,0,0,0
제주도 제주,테트라포드,2,0,0,0,0
제주도 제주,항포구,10,0,0,0,0
제주도 제주,해수욕장,0,0,0,0,0
제주도 제주,해양,25,0,0,0,0
제주도 제주,해안가,4,0,0,0,0
충청남도 보령,갯바위,3,0,0,0,0
충청남도 보령,갯벌,8,0,0,0,0
충청남도 보령,무인도서,3,0,0,0,0
충청남도 보령,방파제,1,0,0,0,0
충청남도 보령,테트라포드,0,0,0,0,0
충청남도 보령,항포구,7,0,0,0,0
충청남도 보령,해수욕장,3,0,0,0,0
충청남도 보령,해양,0,0,0,0,0
충청남도 보령,해안가,3,0,0,0,0
충청남도 태안,갯바위,27,0,0,0,0
충청남도 태안,갯벌,3,0,0,0,0
충청남도 태안,무인도서,2,0,0,0,0
충청남도 태안,방파제,0,0,0,0,0
충청남도 태안,테트라포드,1,0,0,0,0
충청남도 태안,항포구,6,0,0,0,0
충청남도 태안,해수욕장,2,0,0,0,0
충청남도 태안,해양,1,0,0,0,0
충청남도 태안,해안가,5,0,0,0,0
경상남도 사천,갯바위,0,0,0,0,0
경상남도 사천,갯벌,0,0,0,0,0
경상남도 사천,무인도서,0,0,0,0,0
경상남도 사천,방파제,0,0,0,0,0
경상남도 사천,테트라포드,0,0,0,0,0
경상남도 사천,항포구,5,0,0,0,0
경상남도 사천,해수욕장,1,0,0,0,0
경상남도 사천,해양,0,0,0,0,0
경상남도 사천,해안가,0,0,0,0,0
